Date,RELIANCE_Open,RELIANCE_High,RELIANCE_Low,RELIANCE_Close,RELIANCE_Volume,TCS_Open,TCS_High,TCS_Low,TCS_Close,TCS_Volume,INFY_Open,INFY_High,INFY_Low,INFY_Close,INFY_Volume,HDFCBANK_Open,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Close,HDFCBANK_Volume,NIFTY50_Open,NIFTY50_High,NIFTY50_Low,NIFTY50_Close,NIFTY50_Volume
2021-09-30,1143.6176447212324,1147.965677369511,1132.4532137255203,1141.0133056640625,13590654,3323.5207598903125,3323.5207598903125,3275.5678124118886,3297.79736328125,2252412,1483.2663028944044,1483.2663028944044,1454.6112837647613,1459.05322265625,6914031,742.0873538076034,751.6090811295566,740.7304361257566,746.2750244140625,15975348,17718.900390625,17742.150390625,17585.349609375,17618.150390625,378600.0
2021-10-01,1133.1778684079156,1150.3208140813133,1130.0301151683525,1143.02880859375,8958928,3303.2127704849677,3327.8880559391096,3253.643834218683,3258.185791015625,1578374,1450.2562135367987,1462.3191607744086,1446.9029908490702,1450.2998046875,5733906,740.6837274337282,743.4911199571662,732.3785245518908,740.5433349609375,11128596,17531.900390625,17557.150390625,17452.900390625,17532.05078125,305800.0
2021-10-04,1156.2994941506686,1166.1957202690803,1149.0754144086845,1157.7261962890625,10918552,3253.4696342242864,3304.8727186534416,3238.3149909855993,3295.83251953125,1356860,1456.7015632635075,1470.2016375418839,1450.517679535455,1462.1451416015625,2947154,743.4910687947713,749.2696065845623,740.9644042742369,741.9703979492188,7051028,17615.55078125,17750.900390625,17581.349609375,17691.25,295800.0
2021-10-05,1157.2506571555696,1183.021746414647,1153.7405072590436,1181.7535400390625,13533634,3278.974929236287,3354.092628733975,3268.1440904216533,3348.240478515625,1877966,1455.3950807569224,1483.2226102398492,1448.4273005977032,1474.38232421875,4373310,744.8947444690965,747.4681873677021,737.5253398049078,746.5089721679688,10257178,17661.349609375,17833.44921875,17640.900390625,17822.30078125,427000.0
2021-10-06,1186.6221652780882,1186.6221652780882,1155.438860897584,1159.40185546875,10258881,3350.5985309151906,3369.3342386536387,3314.786607096754,3328.674560546875,1678154,1482.4822902737767,1488.492021865943,1454.524093924005,1457.6160888671875,4271698,746.7663826422353,761.2010472242603,742.5552940183129,755.6096801757812,18600830,17861.5,17884.599609375,17613.150390625,17646.0,395800.0
2021-10-07,1175.3219190109808,1177.0204479976474,1162.9573276219362,1165.0860595703125,6336665,3345.35721394832,3405.6260514842033,3336.666315532846,3400.2978515625,1647233,1469.330685011527,1484.3113702738483,1460.3161404249604,1472.8145751953125,5476108,761.084061436561,761.5987386153337,751.9132577682348,753.5509033203125,11265724,17810.55078125,17857.55078125,17763.80078125,17790.349609375,419900.0
2021-10-08,1170.9058970806193,1215.8128063604343,1169.2074879845059,1209.85693359375,15772493,3428.336392186259,3485.023958314772,3406.49985465641,3437.638671875,2934339,1485.2259570483295,1508.0889867346034,1479.2598162798897,1501.426025390625,4738376,754.2528328896178,758.9318206866998,748.7082437733857,749.8779907226562,7245562,17886.849609375,17941.849609375,17840.349609375,17895.19921875,324100.0
2021-10-11,1223.5124154081877,1231.9366542030143,1198.1263679197398,1201.4326171875,14768666,3279.84762938638,3282.0312829345735,3196.8687945550337,3219.2294921875,11845402,1464.9757128474757,1506.7823919299244,1449.0368739193389,1472.7708740234375,8840633,748.5911042955163,769.693323191939,748.1699840631675,764.452880859375,13080848,17867.55078125,18041.94921875,17839.099609375,17945.94921875,375800.0
2021-10-12,1197.9680041586355,1215.1788796176056,1196.2694750157295,1208.29443359375,6682011,3237.0484182874648,3237.921879814256,3171.1895044664,3190.6240234375,5752877,1460.6207915841135,1471.0724609335527,1447.5562048973147,1467.71923828125,7439300,760.3354092752614,768.079155828651,760.3354092752614,762.4877319335938,8176946,17915.80078125,18008.650390625,17864.94921875,17991.94921875,355600.0
2021-10-13,1213.3671067441883,1231.7103344750674,1208.9737889938256,1220.5911865234375,9959762,3188.1345564053886,3210.364109498508,3183.7672487938744,3192.676513671875,3545655,1477.1257522003684,1492.5420290685638,1463.277374662343,1488.6661376953125,7104171,765.9502127890877,771.0970987638464,762.6749217142412,767.0731811523438,6225644,18097.849609375,18197.80078125,18050.75,18161.75,506700.0
2021-10-14,1223.0369280495506,1230.7818997818822,1217.0810544912147,1223.0595703125,8623469,3172.3740272012187,3211.7552220216476,3157.6716717369277,3160.515869140625,6442299,1527.6857924741366,1553.4665576738048,1479.085483572147,1494.37109375,19655776,766.4180801076105,790.7488128094394,766.4180801076105,789.5322875976562,14757288,18272.849609375,18350.75,18248.69921875,18338.55078125,538700.0
2021-10-18,1208.6565974394791,1243.2594798164876,1205.8031936198447,1226.3204345703125,13594479,3153.5136208602116,3196.614135070727,3151.7633461714595,3191.757080078125,3590107,1515.4922131177411,1566.8795927579404,1515.4922131177411,1560.9134521484375,13438109,797.7673126363635,807.125286978139,780.0105791694615,781.53125,28856456,18500.099609375,18543.150390625,18445.30078125,18477.05078125,469900.0
